"시군구별",2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"안양시",196,183,165,159,173,225,3619,3774,3308,3158,2935,2693,2337,2229,2305,2219
"만안구",72,87,64,67,76,86,1378,1503,1424,1372,1254,1167,1020,966,946,927
"동안구",124,96,101,92,97,139,2241,2271,1884,1786,1681,1526,1317,1263,1359,1292
"부천시",212,196,170,236,206,225,5209,4982,4769,4459,4434,3646,3225,3183,3013,2718
"원미구",0,0,0,0,0,0,2834,2707,-,-,0,0,0,0,0,0
"소사구",0,0,0,0,0,0,1394,1309,-,-,0,0,0,0,0,0
"오정구",0,0,0,0,0,0,981,966,-,-,0,0,0,0,0,0
"광명시",69,73,75,79,89,111,2197,2111,1897,1722,1674,1489,1230,1103,1113,1070
"평택시",238,245,207,270,266,300,2906,2855,2901,2887,2886,3016,2863,2896,2915,3169
"동두천시",24,23,22,27,30,29,565,502,501,423,433,361,327,335,312,320
"안산시",169,182,169,204,203,211,4351,4327,3944,3517,3589,3332,2918,2709,2620,2429
"상록구",78,76,87,101,82,100,2395,2444,2190,1954,1970,1654,1461,1365,1373,1143
"단원구",91,106,82,103,121,111,1956,1883,1754,1563,1619,1678,1457,1344,1247,1286
"고양시",275,269,223,288,316,385,5325,5361,4932,4730,4317,4440,4188,4172,3905,3671
"덕양구",127,139,135,132,158,209,2383,2502,2214,2132,2009,2141,2031,2129,1982,1904
"일산구",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"일산동구",71,72,50,83,84,90,1551,1531,1504,1429,1275,1169,1097,1076,1026,911
"일산서구",77,58,38,73,74,86,1391,1328,1214,1169,1033,1130,1060,967,897,856
"과천시",18,27,25,27,29,21,330,385,266,207,232,240,311,340,484,306
"구리시",35,66,61,63,41,39,944,930,874,948,923,793,730,680,691,652
"남양주시",174,181,155,199,209,204,3179,3269,3037,2675,2759,2630,2362,2458,2586,2349
"오산시",84,78,62,94,91,96,1522,1411,1373,1294,1332,1223,1160,1001,1019,1022
"시흥시",162,181,187,202,182,194,2388,2387,2195,2303,2582,2596,2534,2361,2305,2314
"군포시",60,72,80,79,88,96,1954,1974,1772,1639,1428,1294,1167,1103,1053,1024
"의왕시",43,56,45,63,49,50,877,809,756,621,613,628,677,601,621,567
"하남시",102,97,104,137,135,128,793,891,1124,1193,1357,1309,1357,1615,1379,1430
"용인시",271,298,246,330,309,366,5447,5207,4680,4528,4581,4670,4232,3529,3504,3773
"처인구",72,81,69,89,85,84,1313,1281,1136,1160,1281,1252,1115,941,977,990
"기흥구",112,126,94,142,128,157,2332,2258,1969,1849,1757,1843,1649,1399,1395,1469
"수지구",87,91,83,99,96,125,1802,1668,1575,1519,1543,1575,1468,1189,1132,1314
"파주시",127,120,126,147,175,172,2511,2526,2329,2310,2324,2127,1866,1907,2014,1778
"이천시",75,81,71,91,90,92,1223,1169,1108,1079,1059,1059,995,1035,948,1070
"안성시",59,48,44,62,77,87,1012,988,998,907,921,871,773,768,684,746
"김포시",129,139,124,147,183,180,2038,1935,1720,1908,2076,1934,2031,1859,1796,1827
"화성시",363,396,324,364,374,454,3387,3960,4247,4363,4933,4788,4547,4331,4124,4610
"광주시",114,102,107,113,136,121,2027,2180,2162,2173,2210,1931,1736,1635,1521,1524
"양주시",78,69,70,92,92,95,1030,1070,971,910,994,958,896,777,863,1009
"포천시",38,35,25,44,53,46,828,759,755,727,715,641,569,520,606,553
"여주시",20,32,25,19,35,50,608,546,525,476,484,466,425,338,376,405
"양주군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"여주군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"화성군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"광주군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"연천군",0,0,0,0,0,0,223,245,230,248,269,214,206,162,168,0
"포천군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"가평군",0,0,0,0,0,0,280,315,269,269,244,272,202,221,220,0
"양평군",0,0,0,0,0,0,437,497,445,462,418,380,342,366,325,0
"안성군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"김포군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"연천군",12,13,7,23,11,7,-,-,-,-,-,-,-,-,-,167
"가평군",14,18,18,19,26,18,-,-,-,-,-,-,-,-,-,214
"양평군",28,26,25,37,30,34,-,-,-,-,-,-,-,-,-,356
"강원특별자치도",415,406,367,464,499,519,7785,7876,7468,7295,6994,6762,5868,5622,5572,5494
