,시군구별,2018,2019,2020,2021,2022
경상북도,울릉군,0.767,1.17,0.86,0.811,0.639
경상남도,경상남도,1.122,1.046,0.945,0.903,0.838
경상남도,창원시,0,0,0,0,0
경상남도,마산시,0,0,0,0,0
경상남도,진주시,1.097,1.01,0.942,0.912,0.944
경상남도,진해시,0,0,0,0,0
경상남도,통영시,0.928,0.836,0.776,0.764,0.759
경상남도,사천시,1.135,0.974,1.068,1.002,0.999
경상남도,김해시,1.082,1.083,0.952,0.909,0.842
경상남도,밀양시,1.063,1.104,0.941,0.902,0.873
경상남도,거제시,1.255,1.061,1.015,0.909,0.779
경상남도,양산시,1.331,1.178,1.066,0.96,0.822
경상남도,창원시,1.087,1.009,0.895,0.887,0.824
경상남도,의령군,1.18,0.975,1.044,0.932,1.019
경상남도,함안군,1.012,1.058,0.806,0.717,0.702
경상남도,창녕군,1.363,1.326,1.11,1.052,0.798
경상남도,고성군,1.068,0.869,0.825,0.79,0.661
경상남도,남해군,0.847,0.977,0.897,0.805,0.954
경상남도,하동군,1.119,1.273,1.049,1.129,0.874
경상남도,산청군,1.253,1.324,0.852,0.992,0.686
경상남도,함양군,1.071,1.03,0.861,0.886,0.682
경상남도,거창군,1.079,0.999,1.046,0.92,0.836
경상남도,합천군,0.935,1.11,0.927,0.805,1.011
제주특별자치도,제주특별자치도,1.22,1.145,1.021,0.951,0.919
제주특별자치도,제주시,1.264,1.15,1.035,0.969,0.926
제주특별자치도,서귀포시,1.081,1.13,0.977,0.891,0.898
제주특별자치도,북제주군,0,0,0,0,0
제주특별자치도,남제주군,0,0,0,0,0
