"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"시흥시",1.237,1.306,1.202,1.083,1.140,1.081,0.979,0.979,0.931
"군포시",1.418,1.422,1.339,1.105,1.058,1.046,0.912,0.852,0.865
"의왕시",1.225,1.209,1.130,0.912,0.885,0.924,0.886,0.921,0.852
"하남시",1.094,1.076,1.152,1.095,1.020,0.975,0.887,0.911,0.888
"용인시",1.290,1.316,1.205,1.039,0.981,0.936,0.907,0.873,0.840
"처인구",1.272,1.316,1.202,1.070,1.082,0.980,0.925,0.881,0.810
"기흥구",1.318,1.376,1.265,1.072,0.980,0.939,0.904,0.882,0.859
"수지구",1.248,1.233,1.123,0.973,0.911,0.900,0.892,0.852,0.828
"파주시",1.431,1.443,1.375,1.199,1.112,1.050,0.917,0.837,0.861
"이천시",1.387,1.470,1.360,1.234,1.106,0.991,0.921,0.878,0.857
"안성시",1.371,1.335,1.285,1.178,1.026,1.002,0.842,0.855,0.846
"김포시",1.441,1.461,1.296,1.175,1.094,1.016,0.976,0.968,0.934
"화성시",1.512,1.555,1.555,1.391,1.309,1.199,1.088,1.006,0.964
"광주시",1.453,1.450,1.323,1.187,1.127,1.043,0.959,0.883,0.881
"양주시",1.354,1.318,1.279,1.188,1.090,1.030,0.987,0.939,0.896
"포천시",1.196,1.354,1.258,1.152,1.056,0.889,0.868,0.805,0.823
"여주시",1.354,1.336,1.303,1.073,1.118,1.083,1.053,0.893,0.897
"양주군",-,-,-,-,-,-,-,-,-
"여주군",-,-,-,-,-,-,-,-,-
"화성군",-,-,-,-,-,-,-,-,-
"광주군",-,-,-,-,-,-,-,-,-
"연천군",1.850,1.729,1.863,1.590,1.613,1.413,1.281,1.188,1.041
"포천군",-,-,-,-,-,-,-,-,-
"가평군",1.251,1.270,1.283,1.307,1.093,0.971,1.025,0.969,0.803
"양평군",1.294,1.180,1.220,1.163,0.994,1.024,0.967,0.945,0.917
"강원특별자치도",1.248,1.311,1.237,1.123,1.067,1.082,1.036,0.979,0.968
"춘천시",1.173,1.202,1.168,1.032,1.024,1.017,0.975,0.902,0.901
"원주시",1.200,1.255,1.188,1.106,0.984,1.030,0.978,0.942,0.941
"강릉시",1.091,1.234,1.137,1.025,1.004,0.959,0.945,0.904,0.910
"동해시",1.370,1.340,1.387,1.236,1.096,1.046,1.055,1.102,0.987
"태백시",1.327,1.276,1.120,1.183,1.193,1.006,1.001,0.874,0.913
"속초시",1.352,1.486,1.238,0.908,1.031,1.046,1.063,0.964,0.913
"삼척시",1.245,1.307,1.262,1.158,1.191,1.344,1.361,1.187,1.260
"홍천군",1.290,1.479,1.323,1.270,1.255,1.125,1.102,1.029,1.023
"횡성군",1.075,1.214,1.147,0.999,0.858,1.053,0.992,0.992,0.852
"영월군",1.083,1.092,1.116,1.010,0.907,0.920,1.009,0.798,0.864
"평창군",1.049,1.120,1.052,1.095,0.880,0.944,0.757,0.817,0.764
"정선군",1.307,1.097,1.057,0.968,0.927,1.112,1.027,1.102,0.827
"철원군",1.835,1.724,1.656,1.591,1.538,1.652,1.656,1.394,1.398
"화천군",1.802,1.926,1.630,1.484,1.567,1.565,1.235,1.201,1.402
"양구군",1.614,1.748,1.631,1.623,1.358,1.473,1.428,1.518,1.434
"인제군",1.821,2.161,1.970,1.833,1.579,1.642,1.439,1.472,1.311
"고성군",1.336,1.264,1.282,1.176,1.014,1.248,1.020,0.962,1.100
"양양군",1.078,1.224,1.261,0.939,1.343,1.182,0.924,0.855,0.880
"충청북도",1.363,1.414,1.358,1.235,1.172,1.050,0.983,0.949,0.871
"청주시",-,-,-,-,-,-,-,-,-
"상당구",-,-,-,-,-,-,-,-,-
"흥덕구",-,-,-,-,-,-,-,-,-
"충주시",1.246,1.260,1.314,1.144,1.088,1.054,1.019,0.952,0.880
"제천시",1.395,1.301,1.334,1.170,1.188,1.086,1.014,1.002,0.832
"청주시",1.367,1.444,1.352,1.227,1.163,0.999,0.959,0.941,0.860
"상당구",1.214,1.328,1.168,1.049,1.000,0.914,0.976,0.998,0.910
"서원구",1.363,1.366,1.240,1.146,1.041,0.846,0.795,0.773,0.789
"흥덕구",1.342,1.416,1.275,1.205,1.126,0.993,0.968,0.954,0.840
