항목,연령구분5세,시점,값
H10,5세미만,2015년 10월,45564
H16,10_14세,2015년 10월,5438
H16,5_9세,2015년 10월,4616
H16,5세미만,2015년 10월,3858
H20,10_14세,2015년 10월,172
H20,5_9세,2015년 10월,68
H20,5세미만,2015년 10월,17
H30,10_14세,2015년 10월,17
H30,5_9세,2015년 10월,3
H30,5세미만,2015년 10월,4
H40,10_14세,2015년 10월,488
H40,5_9세,2015년 10월,256
H40,5세미만,2015년 10월,73
J00,10_14세,2015년 10월,26254
J00,5_9세,2015년 10월,63477
J00,5세미만,2015년 10월,186616
J01,10_14세,2015년 10월,40436
J01,5_9세,2015년 10월,109418
J01,5세미만,2015년 10월,189520
J02,10_14세,2015년 10월,39184
J02,5_9세,2015년 10월,75554
J02,5세미만,2015년 10월,157409
J03,10_14세,2015년 10월,53775
J03,5_9세,2015년 10월,94940
J03,5세미만,2015년 10월,136217
J04,10_14세,2015년 10월,24021
J04,5_9세,2015년 10월,37227
J04,5세미만,2015년 10월,42600
J06,10_14세,2015년 10월,43491
J06,5_9세,2015년 10월,82552
J06,5세미만,2015년 10월,195821
K12,10_14세,2015년 10월,3889
K12,5_9세,2015년 10월,6190
K12,5세미만,2015년 10월,7441
H10,10_14세,2015년 11월,16853
H10,5_9세,2015년 11월,29863
H10,5세미만,2015년 11월,47778
H16,10_14세,2015년 11월,4850
H16,5_9세,2015년 11월,4030
H16,5세미만,2015년 11월,4130
H20,10_14세,2015년 11월,168
H20,5_9세,2015년 11월,69
H20,5세미만,2015년 11월,12
H30,10_14세,2015년 11월,9
H30,5_9세,2015년 11월,4
H30,5세미만,2015년 11월,2
H40,10_14세,2015년 11월,483
H40,5_9세,2015년 11월,211
H40,5세미만,2015년 11월,69
J00,10_14세,2015년 11월,28064
J00,5_9세,2015년 11월,60849
J00,5세미만,2015년 11월,172883
J01,10_14세,2015년 11월,43892
J01,5_9세,2015년 11월,111211
J01,5세미만,2015년 11월,181007
J02,10_14세,2015년 11월,42224
J02,5_9세,2015년 11월,73507
J02,5세미만,2015년 11월,145893
J03,10_14세,2015년 11월,58102
J03,5_9세,2015년 11월,93382
J03,5세미만,2015년 11월,126212
J04,10_14세,2015년 11월,26295
J04,5_9세,2015년 11월,36414
J04,5세미만,2015년 11월,42308
J06,10_14세,2015년 11월,47751
J06,5_9세,2015년 11월,79442
J06,5세미만,2015년 11월,181670
K12,10_14세,2015년 11월,3583
K12,5_9세,2015년 11월,5553
K12,5세미만,2015년 11월,6364
H10,10_14세,2015년 12월,16262
H10,5_9세,2015년 12월,31367
H10,5세미만,2015년 12월,54091
H16,10_14세,2015년 12월,4670
H16,5_9세,2015년 12월,4163
H16,5세미만,2015년 12월,4497
H20,10_14세,2015년 12월,152
H20,5_9세,2015년 12월,63
H20,5세미만,2015년 12월,19
H30,10_14세,2015년 12월,15
H30,5_9세,2015년 12월,2
H30,5세미만,2015년 12월,2
H40,10_14세,2015년 12월,418
H40,5_9세,2015년 12월,245
