"시점","행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"2016","울산광역시","40~44세",95932,48662,47270
"2016","울산광역시","45~49세",111218,55095,56123
"2016","울산광역시","50~54세",105923,55295,50628
"2016","울산광역시","55~59세",98668,50553,48115
"2016","울산광역시","60~64세",65981,33528,32453
"2016","울산광역시","15세미만",171136,88940,82196
"2016","울산광역시","65세이상",107075,46855,60220
"2016","세종특별자치시","합계",242507,122648,119859
"2016","세종특별자치시","15~19세",14111,7183,6928
"2016","세종특별자치시","20~24세",17254,9452,7802
"2016","세종특별자치시","25~29세",14806,7947,6859
"2016","세종특별자치시","30~34세",19952,9779,10173
"2016","세종특별자치시","35~39세",24898,12290,12608
"2016","세종특별자치시","40~44세",23274,12194,11080
"2016","세종특별자치시","45~49세",18891,10272,8619
"2016","세종특별자치시","50~54세",14335,7558,6777
"2016","세종특별자치시","55~59세",13770,6953,6817
"2016","세종특별자치시","60~64세",10247,5070,5177
"2016","세종특별자치시","15세미만",47977,24338,23639
"2016","세종특별자치시","65세이상",22992,9612,13380
"2016","경기도","합계",12671956,6405301,6266655
"2016","경기도","15~19세",774124,399498,374626
"2016","경기도","20~24세",850579,454093,396486
"2016","경기도","25~29세",834467,444835,389632
"2016","경기도","30~34세",939423,492343,447080
"2016","경기도","35~39세",1073515,551432,522083
"2016","경기도","40~44세",1119278,572150,547128
"2016","경기도","45~49세",1176250,592917,583333
"2016","경기도","50~54세",1047131,537301,509830
"2016","경기도","55~59세",971760,493228,478532
"2016","경기도","60~64세",663883,330267,333616
"2016","경기도","15세미만",1862289,957208,905081
"2016","경기도","65세이상",1359257,580029,779228
"2016","강원특별자치도","합계",1521751,769461,752290
"2016","강원특별자치도","15~19세",94329,50246,44083
"2016","강원특별자치도","20~24세",109384,62987,46397
"2016","강원특별자치도","25~29세",82158,46644,35514
"2016","강원특별자치도","30~34세",84544,45018,39526
"2016","강원특별자치도","35~39세",98366,50256,48110
"2016","강원특별자치도","40~44세",111842,57895,53947
"2016","강원특별자치도","45~49세",126043,65377,60666
"2016","강원특별자치도","50~54세",123781,63750,60031
"2016","강원특별자치도","55~59세",138849,69577,69272
"2016","강원특별자치도","60~64세",106474,53218,53256
"2016","강원특별자치도","15세미만",187589,96683,90906
"2016","강원특별자치도","65세이상",258392,107810,150582
"2016","충청북도","합계",1603404,814049,789355
"2016","충청북도","15~19세",103069,54018,49051
"2016","충청북도","20~24세",119018,65689,53329
"2016","충청북도","25~29세",96743,54042,42701
"2016","충청북도","30~34세",105171,56451,48720
"2016","충청북도","35~39세",113582,59855,53727
"2016","충청북도","40~44세",121128,62923,58205
"2016","충청북도","45~49세",135838,69737,66101
"2016","충청북도","50~54세",127449,66108,61341
"2016","충청북도","55~59세",133712,67906,65806
"2016","충청북도","60~64세",99665,49872,49793
"2016","충청북도","15세미만",212733,109770,102963
"2016","충청북도","65세이상",235296,97678,137618
"2016","충청남도","합계",2132566,1091091,1041475
"2016","충청남도","15~19세",133487,69607,63880
"2016","충청남도","20~24세",149280,79892,69388
"2016","충청남도","25~29세",128291,71924,56367
"2016","충청남도","30~34세",147304,81133,66171
"2016","충청남도","35~39세",161684,87950,73734
"2016","충청남도","40~44세",162513,87050,75463
